time_ps,mlp_force_sum,mha_force_sum,conv_force_sum,comb_force_sum,MACE_force_sum
0.107,2.183338e-06,2.2128224e-06,2.3229686e-06,7.275674e-07,1.1879159388155724e-14
0.1075,9.0361135e-07,1.7472048e-06,3.8185444e-06,2.999245e-06,6.084044966890442e-15
0.108,7.8683917e-07,7.4863505e-07,5.0107856e-06,3.1017332e-06,1.8601061192442462e-14
0.1085,3.6194794e-07,2.319525e-06,1.1744535e-06,2.1948758e-06,8.338183292564482e-15
0.109,1.1794531e-06,1.4477965e-06,2.9253754e-06,2.2930365e-06,1.6431980574454383e-14
0.1095,1.8787285e-06,9.723008e-07,2.9409698e-06,2.5850832e-06,6.277057047235737e-15
0.11,2.4102253e-06,1.5288085e-06,2.7130345e-06,1.4067201e-06,9.423344932923e-15
0.1105,1.4127841e-06,4.4359494e-06,7.005527e-07,3.7489378e-06,1.76257138563599e-14
0.111,1.7231471e-06,2.1943192e-06,2.6286193e-06,3.2147852e-06,1.1987099384872916e-14
0.1115,8.9558955e-07,3.11559e-06,1.0905625e-06,3.5227304e-06,8.269671166936293e-15
0.112,1.2342804e-06,1.1455555e-06,2.2273248e-06,1.8390714e-06,9.623112642122455e-15
0.1125,7.5132743e-07,8.805565e-07,2.4903336e-06,2.2844993e-06,5.2221803887383344e-15
0.113,1.2334706e-06,8.663523e-07,1.2175261e-06,2.3511748e-06,1.1199091010720817e-14
0.1135,2.8357658e-06,3.287524e-06,1.3307997e-06,1.1980385e-06,1.1632608100920324e-14
0.114,1.523202e-06,2.360976e-06,3.3459992e-06,2.211003e-06,3.726282937063987e-15
0.1145,1.4333027e-06,2.978602e-06,1.8199102e-06,1.4936882e-06,7.866343416174007e-15
0.115,1.9687727e-06,2.911626e-06,7.5191826e-07,3.2646808e-06,8.909539772616881e-15
0.1155,7.309168e-07,3.7607078e-06,2.6610987e-06,2.3722348e-06,5.8756003471245454e-15
0.116,2.0070154e-06,2.8530958e-06,2.296145e-06,3.6393017e-06,1.0575860005433421e-14
0.1165,7.726004e-07,3.1517366e-06,2.873916e-06,1.8706745e-06,1.0480302843590746e-14
0.117,5.9329267e-07,3.5691003e-06,4.7973003e-06,3.6689553e-06,1.0246883383745571e-14
0.1175,1.1828604e-06,1.7357295e-06,1.3962833e-06,3.2890748e-06,6.146230787578956e-15
0.118,7.108963e-07,2.5885165e-06,2.352874e-06,1.4428757e-06,1.4345229679505872e-15
0.1185,7.288252e-07,3.3182969e-06,1.0941958e-06,2.874032e-06,1.0641106013350553e-14
0.119,2.037499e-06,2.2156303e-06,2.6098737e-06,2.5407244e-06,9.414920769577835e-15
0.1195,2.267426e-06,2.346167e-06,1.1344472e-06,3.5568544e-06,1.1112850348086693e-14
0.12,1.8763781e-06,1.6343116e-06,1.7581476e-06,1.2908225e-06,8.08480321933235e-15
0.1205,7.4643515e-07,2.6204127e-06,5.4950547e-06,1.9304914e-06,7.142263358421645e-15
0.121,1.2687882e-06,3.377195e-06,2.1293545e-06,1.9304914e-06,9.460484137894833e-15
0.1215,2.1254405e-06,2.4555088e-06,3.3527613e-06,2.91332e-06,1.3805794358632053e-15
0.122,2.0213056e-06,1.9967556e-06,1.7156408e-06,1.1980385e-06,1.4764902468663617e-14
0.1225,2.149231e-06,2.5041488e-06,2.6340938e-06,3.4719385e-06,1.1512545116571288e-14
0.123,1.4582787e-06,1.9590918e-06,2.27632e-06,1.956086e-06,1.1471035243252927e-14
0.1235,9.982666e-07,1.6390092e-06,3.3134231e-06,3.129102e-06,9.209970248850685e-15
